Texto,Séc,Data,Região,Lugar,Documento,Notário
Textos Notariais in Clíticos na História do Português,12,2ª metade do século 12,Douro Litoral,Moreira,CHP001,
Documentos Notariais,12,2ª metade do século 12,Douro Litoral,Pedroso,DN001,
Documentos Notariais,12,2ª metade do século 12,Douro Litoral,Moreira,DN002,
Documentos Privados,12,1173?,Minho,Braga,DP001,
Documentos Privados,12,2ª metade do século 12,Beira Litoral,Coimbra,DP002,
Documentos Privados,12,1184,Douro Litoral,Pendorada,DP003,
Documentos Privados,12,2ª metade do século 12,Douro Litoral,Guimarães,DP004,
Cantigas de Escárnio e Maldizer,13,,,,CEM001,
Cantigas de Escárnio e Maldizer,13,,,,CEM002,
Cantigas de Escárnio e Maldizer,13,,,,CEM003,
Cantigas de Escárnio e Maldizer,13,,,,CEM004,
Cantigas de Escárnio e Maldizer,13,,,,CEM005,
Cantigas de Escárnio e Maldizer,13,,,,CEM006,
Cantigas de Escárnio e Maldizer,13,,,,CEM007,
Cantigas de Escárnio e Maldizer,13,,,,CEM008,
Cantigas de Escárnio e Maldizer,13,,,,CEM009,
Cantigas de Escárnio e Maldizer,13,,,,CEM010,
Cantigas de Escárnio e Maldizer,13,,,,CEM011,
Cantigas de Escárnio e Maldizer,13,1211-1217,,,CEM012-trad,
Cantigas de Escárnio e Maldizer,13,,,,CEM013,
Cantigas de Escárnio e Maldizer,13,1201,,,CEM014,
Cantigas de Escárnio e Maldizer,13,1230-1235,,,CEM015,
Cantigas de Escárnio e Maldizer,13,,,,CEM016,
Cantigas de Escárnio e Maldizer,13,,,,CEM017,
Cantigas de Escárnio e Maldizer,13,,,,CEM018,
Cantigas de Escárnio e Maldizer,13,,,,CEM019,
Cantigas de Escárnio e Maldizer,13,,,,CEM020,
Cantigas de Escárnio e Maldizer,13,,,,CEM021,
Cantigas de Escárnio e Maldizer,13,,,,CEM022,
Cantigas de Escárnio e Maldizer,13,,,,CEM023,
Cantigas de Escárnio e Maldizer,13,,,,CEM024,
Cantigas de Escárnio e Maldizer,13,1253,,,CEM025,
Cantigas de Escárnio e Maldizer,13,1266,,,CEM026,
Cantigas de Escárnio e Maldizer,13,1248-1252,,,CEM027,
Cantigas de Escárnio e Maldizer,13,,,,CEM028,
Cantigas de Escárnio e Maldizer,13,,,,CEM029,
Cantigas de Escárnio e Maldizer,13,,,,CEM030,
Cantigas de Escárnio e Maldizer,13,,,,CEM031,
Cantigas de Escárnio e Maldizer,13,,,,CEM032,
Cantigas de Escárnio e Maldizer,13,,,,CEM033,
Cantigas de Escárnio e Maldizer,13,,,,CEM034,
Cantigas de Escárnio e Maldizer,13,,,,CEM035,
Cantigas de Escárnio e Maldizer,13,,,,CEM036,
Cantigas de Escárnio e Maldizer,13,,,,CEM037,
Cantigas de Escárnio e Maldizer,13,,,,CEM038,
Cantigas de Escárnio e Maldizer,13,,,,CEM039,
Cantigas de Escárnio e Maldizer,13,,,,CEM040,
Cantigas de Escárnio e Maldizer,13,,,,CEM041,
Cantigas de Escárnio e Maldizer,13,,,,CEM042,
Cantigas de Escárnio e Maldizer,13,,,,CEM043,
Cantigas de Escárnio e Maldizer,13,,,,CEM044,
Cantigas de Escárnio e Maldizer,13,,,,CEM045,
Cantigas de Escárnio e Maldizer,13,,,,CEM046,
Cantigas de Escárnio e Maldizer,13,,,,CEM047,
Cantigas de Escárnio e Maldizer,13,,,,CEM048,
Cantigas de Escárnio e Maldizer,13,,,,CEM049,
Cantigas de Escárnio e Maldizer,13,,,,CEM050,
Cantigas de Escárnio e Maldizer,13,,,,CEM051,
Cantigas de Escárnio e Maldizer,13,,,,CEM052,
Cantigas de Escárnio e Maldizer,13,,,,CEM053,
Cantigas de Escárnio e Maldizer,13,,,,CEM054,
